post_number,urn,post_url,post_date,content,likes,comments,impressions,analytics_url,image_urls
Feed post number 1,urn:li:activity:7396351440824270850,https://www.linkedin.com/feed/update/urn:li:activity:7396351440824270850/,21h • Edited •,"You have 135 customers??" I ask. 😮

"No, 135 clients at the agency," he corrects me. "We shut it all down to focus on Talvin AI. We have 3 SaaS customers."

Most people would call that failure. I call it balls.

I got off the call thinking: this is exactly the kind of founder I want to back.

Last week I caught up with Newan, founder of Talvin AI - a Sri Lankan AI startup.

——
Story⬇︎

19 years old when he started.  Finished his A-Levels exam on a Wednesday. Started his first company on Thursday.

I'm thinking "ok, another kid with big dreams." Then he told me how he got to that 135-client number.

Covid hits. Everything goes digital overnight. He and a few mates start building whatever people will pay for.

Over a few years that turns into a50 person team with clients 13-14 countries and projects with startups, enterprises, even government

Impressive. Till they hit a very boring, very painful wall.

They can't hire engineers fast enough. Recruitment becomes the bottleneck. They start losing big projects because they can't staff them.

So they do something most "AI startups" pretend they did.

They build a tool for themselves first.

A voice AI recruiter that: 
👌 Talks to candidates 24/7 
👌 Runs proper screening conversations 
👌 Spits out a shortlist so humans only talk to the best fits

They used Talvin to hire every single engineer for over a year — before they even had a landing page.

Only after that do they ask: "Ok, if this fixed our problem, who else looks like us?"

So where are they now?

The numbers are small, but the signal is deafening:
• Solid initial ARR from Enterprise Customers including Anytime Fitness, Mindvalley and Sampath Bank.
• Ranking # 1 for ai recruitment searches on google and chatgpt
• Customer driven roadmap with comprehensive integrations

Here are 3 "Green Flags" that got me fired up:

1️⃣ Derisked problem-solution fit. Most founders build a product based on a guess. Newan built this because his own hair was on fire.

2️⃣ No ghosts; ie flashy logos that are just pilots or trials.. Talvin has signed, rolled-out contracts with massive enterprises.

3️⃣ Newan is running a relentless, founder-led motion. He's not chasing vanity metrics or burning cash on ads.

Why share this?

Two reasons.

First, I want to start making these conversations public. There are founders out there doing thoughtful work that never hits your timeline.

Second, Talvin looks like the kind of company I wish more investors saw early. They capital efficient, and validated by real enterprise. 💪

And if you want more of these notes when I meet with founders, like this post and I'll keep sharing them.,21,6,"4,479 impressions",https://www.linkedin.com/analytics/post-summary/urn:li:activity:7396351440824270850/,
Feed post number 2,urn:li:activity:7394875465917833216,https://www.linkedin.com/feed/update/urn:li:activity:7394875465917833216/,4d • Edited •,"If I had a dollar for every time an early stage B2B SaaS founder told me "I should've known better with GTM" ...Crikey, I'd be running a fund 🤑 Aussie startups under 200k ARR seem to be using American style GTM playbooks they find online. Or worse, no GTM at all. Just copying what big players do and forgetting those companies are playing a very different game. So the "GTM plan" ends up looking like this: → Hire a salesperson (with no real sales process and no clear ICP) → Post on LinkedIn (with no positioning that sets you apart from the other 47 startups in your space)  → Run Google Ads (to a website that lists features, not outcomes)  → Go to conferences (collect 50 business cards, follow up on 3)  → "Do more SEO" (whatever that means)  → Enter awards (aim for the "innovation" category) Nice. What you've built isn't a GTM strategy. It's a task list. And worse, one designed for companies with $5M in funding selling to a market of 50,000. After 18 years working on B2B deals in mining and hospitality, here is what actually counts towards gettting traction if you are pre revenue to 200k ARR: 1️⃣ ICP: The first 10 to 20 logos you would bet your runway on. Which role at which type of company is most likely to say yes in the next 90 days? 2️⃣ Problem story: A few clear use cases that describe the pain, what changes and what life looks like after your product. 3️⃣ Simple offer: One clear entry offer and price. No giant menu. Always solve for the customer. 4️⃣ Founder led path: A simple, repeatable path from contact to close (for example: 100 targets → 20 replies → 10 calls → 3 demos → 1 or 2 closes). 5️⃣ Early proof: Real usage and value. A few paying customers, before and after stories, a simple ROI example. 6️⃣ Channels: Based on where your buyer actually is. Not ""be everywhere."" Ignore these, and you'll burn months of precious runway wondering why your ""growth strategy"" generated 47 LinkedIn comments and 2 demos. But what I see instead: the founder hides in product. Stays in "we're still building" mode. Because shipping features feels like progress and sales feels uncomfortable. So talking to customer gets delayed. A junior BDR is hired before the founder has closed 10 customers. "Product market fit" is something they hope to find from behind a laptop. The thing is, you don't need a salesperson. You need to BE the salesperson. You don't need Google Ads. You need 100 targeted conversations. You don't need awards. You need referenceable customers. At early stage, your only unfair advantage is you. Your job is to talk to customers, do outreach and get rejected. Sitting in your spare bedroom doing cold outreach will move the needle more than tweaking your pitch deck hoping VC funding will create headlines and solve GTM for you. You know what will actually creates headlines? Running out of cash because you tried to scale a disjointed task list. Full post 👉 https://lnkd.in/edDPfEJc",14,1,"3,408 impressions",https://www.linkedin.com/analytics/post-summary/urn:li:activity:7394875465917833216/,https://media.licdn.com/dms/image/v2/D4E22AQHWMDdvvzwDWQ/feedshare-shrink_800/B4EZp8YHqDIQAk-/0/1763023290594?e=1764806400&v=beta&t=vTokCUYtpz-2ooDIYIaVEs-odEDyGHdKWcEwQVxszYM
